date,demand,sku,supermarket
2/15/2019,92.0,Organic Milk,FreshMart
2/16/2019,89.0,Organic Milk,FreshMart
2/17/2019,91.0,Organic Milk,FreshMart
2/18/2019,88.0,Organic Milk,FreshMart
2/19/2019,92.0,Organic Milk,FreshMart
2/20/2019,92.0,Organic Milk,FreshMart
2/21/2019,94.0,Organic Milk,FreshMart
2/22/2019,92.0,Organic Milk,FreshMart
2/23/2019,89.0,Organic Milk,FreshMart
2/24/2019,90.0,Organic Milk,FreshMart
2/25/2019,91.0,Organic Milk,FreshMart
2/26/2019,92.0,Organic Milk,FreshMart
2/27/2019,94.0,Organic Milk,FreshMart
2/28/2019,93.0,Organic Milk,FreshMart
3/1/2019,93.0,Organic Milk,FreshMart
3/2/2019,91.0,Organic Milk,FreshMart
3/3/2019,90.0,Organic Milk,FreshMart
3/4/2019,90.0,Organic Milk,FreshMart
3/5/2019,90.0,Organic Milk,FreshMart
3/6/2019,94.0,Organic Milk,FreshMart
3/7/2019,,Organic Milk,FreshMart
3/8/2019,91.0,Organic Milk,FreshMart
3/9/2019,92.0,Organic Milk,FreshMart
3/10/2019,90.0,Organic Milk,FreshMart
3/11/2019,91.0,Organic Milk,FreshMart
3/12/2019,94.0,Organic Milk,FreshMart
3/13/2019,95.0,Organic Milk,FreshMart
3/14/2019,97.0,Organic Milk,FreshMart
3/15/2019,92.0,Organic Milk,FreshMart
3/16/2019,,Organic Milk,FreshMart
3/17/2019,90.0,Organic Milk,FreshMart
3/18/2019,90.0,Organic Milk,FreshMart
3/19/2019,92.0,Organic Milk,FreshMart
3/20/2019,94.0,Organic Milk,FreshMart
3/21/2019,95.0,Organic Milk,FreshMart
3/22/2019,93.0,Organic Milk,FreshMart
3/23/2019,94.0,Organic Milk,FreshMart
3/24/2019,92.0,Organic Milk,FreshMart
3/25/2019,90.0,Organic Milk,FreshMart
3/26/2019,96.0,Organic Milk,FreshMart
3/27/2019,,Organic Milk,FreshMart
3/28/2019,97.0,Organic Milk,FreshMart
3/29/2019,94.0,Organic Milk,FreshMart
3/30/2019,92.0,Organic Milk,FreshMart
3/31/2019,93.0,Organic Milk,FreshMart
4/1/2019,92.0,Organic Milk,FreshMart
4/2/2019,96.0,Organic Milk,FreshMart
4/3/2019,,Organic Milk,FreshMart
4/4/2019,98.0,Organic Milk,FreshMart
4/5/2019,96.0,Organic Milk,FreshMart
4/6/2019,94.0,Organic Milk,FreshMart
4/7/2019,,Organic Milk,FreshMart
4/8/2019,95.0,Organic Milk,FreshMart
4/9/2019,95.0,Organic Milk,FreshMart
4/10/2019,,Organic Milk,FreshMart
4/11/2019,99.0,Organic Milk,FreshMart
4/12/2019,94.0,Organic Milk,FreshMart
4/13/2019,92.0,Organic Milk,FreshMart
4/14/2019,94.0,Organic Milk,FreshMart
4/15/2019,92.0,Organic Milk,FreshMart
4/16/2019,,Organic Milk,FreshMart
4/17/2019,96.0,Organic Milk,FreshMart
4/18/2019,96.0,Organic Milk,FreshMart
4/19/2019,99.0,Organic Milk,FreshMart
4/20/2019,96.0,Organic Milk,FreshMart
4/21/2019,96.0,Organic Milk,FreshMart
4/22/2019,,Organic Milk,FreshMart
4/23/2019,94.0,Organic Milk,FreshMart
4/24/2019,,Organic Milk,FreshMart
4/25/2019,97.0,Organic Milk,FreshMart
4/26/2019,97.0,Organic Milk,FreshMart
4/27/2019,96.0,Organic Milk,FreshMart
4/28/2019,93.0,Organic Milk,FreshMart
4/29/2019,95.0,Organic Milk,FreshMart
4/30/2019,97.0,Organic Milk,FreshMart
5/1/2019,98.0,Organic Milk,FreshMart
5/2/2019,96.0,Organic Milk,FreshMart
5/3/2019,97.0,Organic Milk,FreshMart
5/4/2019,97.0,Organic Milk,FreshMart
5/5/2019,93.0,Organic Milk,FreshMart
5/6/2019,,Organic Milk,FreshMart
5/7/2019,95.0,Organic Milk,FreshMart
5/8/2019,100.0,Organic Milk,FreshMart
5/9/2019,99.0,Organic Milk,FreshMart
5/10/2019,,Organic Milk,FreshMart
5/11/2019,18.8,Organic Milk,FreshMart
5/12/2019,95.0,Organic Milk,FreshMart
5/13/2019,94.0,Organic Milk,FreshMart
5/14/2019,96.0,Organic Milk,FreshMart
5/15/2019,97.0,Organic Milk,FreshMart
5/16/2019,,Organic Milk,FreshMart
5/17/2019,98.0,Organic Milk,FreshMart
5/18/2019,95.0,Organic Milk,FreshMart
5/19/2019,95.0,Organic Milk,FreshMart
5/20/2019,93.0,Organic Milk,FreshMart
5/21/2019,95.0,Organic Milk,FreshMart
5/22/2019,99.0,Organic Milk,FreshMart
5/23/2019,99.0,Organic Milk,FreshMart
5/24/2019,99.0,Organic Milk,FreshMart
5/25/2019,99.0,Organic Milk,FreshMart
5/26/2019,96.0,Organic Milk,FreshMart
5/27/2019,94.0,Organic Milk,FreshMart
5/28/2019,98.0,Organic Milk,FreshMart
5/29/2019,97.0,Organic Milk,FreshMart
5/30/2019,,Organic Milk,FreshMart
5/31/2019,98.0,Organic Milk,FreshMart
6/1/2019,99.0,Organic Milk,FreshMart
6/2/2019,94.0,Organic Milk,FreshMart
6/3/2019,94.0,Organic Milk,FreshMart
6/4/2019,,Organic Milk,FreshMart
6/5/2019,98.0,Organic Milk,FreshMart
6/6/2019,,Organic Milk,FreshMart
6/7/2019,97.0,Organic Milk,FreshMart
6/8/2019,95.0,Organic Milk,FreshMart
6/9/2019,95.0,Organic Milk,FreshMart
6/10/2019,95.0,Organic Milk,FreshMart
6/11/2019,100.0,Organic Milk,FreshMart
6/12/2019,100.0,Organic Milk,FreshMart
6/13/2019,99.0,Organic Milk,FreshMart
6/14/2019,97.0,Organic Milk,FreshMart
6/15/2019,98.0,Organic Milk,FreshMart
6/16/2019,94.0,Organic Milk,FreshMart
6/17/2019,94.0,Organic Milk,FreshMart
6/18/2019,99.0,Organic Milk,FreshMart
6/19/2019,,Organic Milk,FreshMart
6/20/2019,101.0,Organic Milk,FreshMart
6/21/2019,99.0,Organic Milk,FreshMart
6/22/2019,98.0,Organic Milk,FreshMart
6/23/2019,95.0,Organic Milk,FreshMart
6/24/2019,95.0,Organic Milk,FreshMart
6/25/2019,99.0,Organic Milk,FreshMart
6/26/2019,98.0,Organic Milk,FreshMart
6/27/2019,99.0,Organic Milk,FreshMart
6/28/2019,98.0,Organic Milk,FreshMart
6/29/2019,97.0,Organic Milk,FreshMart
6/30/2019,,Organic Milk,FreshMart
7/1/2019,94.0,Organic Milk,FreshMart
7/2/2019,97.0,Organic Milk,FreshMart
7/3/2019,96.0,Organic Milk,FreshMart
7/4/2019,101.0,Organic Milk,FreshMart
7/5/2019,96.0,Organic Milk,FreshMart
7/6/2019,95.0,Organic Milk,FreshMart
7/7/2019,,Organic Milk,FreshMart
7/8/2019,95.0,Organic Milk,FreshMart
7/9/2019,,Organic Milk,FreshMart
7/10/2019,97.0,Organic Milk,FreshMart
7/11/2019,,Organic Milk,FreshMart
7/12/2019,98.0,Organic Milk,FreshMart
7/13/2019,95.0,Organic Milk,FreshMart
7/14/2019,,Organic Milk,FreshMart
7/15/2019,,Organic Milk,FreshMart
7/16/2019,99.0,Organic Milk,FreshMart
7/17/2019,100.0,Organic Milk,FreshMart
7/18/2019,,Organic Milk,FreshMart
7/19/2019,100.0,Organic Milk,FreshMart
7/20/2019,96.0,Organic Milk,FreshMart
7/21/2019,95.0,Organic Milk,FreshMart
7/22/2019,98.0,Organic Milk,FreshMart
7/23/2019,99.0,Organic Milk,FreshMart
7/24/2019,100.0,Organic Milk,FreshMart
7/25/2019,97.0,Organic Milk,FreshMart
7/26/2019,98.0,Organic Milk,FreshMart
7/27/2019,96.0,Organic Milk,FreshMart
7/28/2019,96.0,Organic Milk,FreshMart
7/29/2019,96.0,Organic Milk,FreshMart
7/30/2019,99.0,Organic Milk,FreshMart
7/31/2019,100.0,Organic Milk,FreshMart
8/1/2019,,Organic Milk,FreshMart
8/2/2019,98.0,Organic Milk,FreshMart
8/3/2019,95.0,Organic Milk,FreshMart
8/4/2019,95.0,Organic Milk,FreshMart
8/5/2019,96.0,Organic Milk,FreshMart
8/6/2019,98.0,Organic Milk,FreshMart
8/7/2019,102.0,Organic Milk,FreshMart
8/8/2019,99.0,Organic Milk,FreshMart
8/9/2019,97.0,Organic Milk,FreshMart
8/10/2019,96.0,Organic Milk,FreshMart
8/11/2019,95.0,Organic Milk,FreshMart
8/12/2019,96.0,Organic Milk,FreshMart
8/13/2019,95.0,Organic Milk,FreshMart
8/14/2019,99.0,Organic Milk,FreshMart
8/15/2019,99.0,Organic Milk,FreshMart
8/16/2019,98.0,Organic Milk,FreshMart
8/17/2019,95.0,Organic Milk,FreshMart
8/18/2019,95.0,Organic Milk,FreshMart
8/19/2019,93.0,Organic Milk,FreshMart
8/20/2019,96.0,Organic Milk,FreshMart
8/21/2019,98.0,Organic Milk,FreshMart
8/22/2019,99.0,Organic Milk,FreshMart
8/23/2019,,Organic Milk,FreshMart
8/24/2019,97.0,Organic Milk,FreshMart
8/25/2019,,Organic Milk,FreshMart
8/26/2019,92.0,Organic Milk,FreshMart
8/27/2019,97.0,Organic Milk,FreshMart
8/28/2019,99.0,Organic Milk,FreshMart
8/29/2019,98.0,Organic Milk,FreshMart
8/30/2019,,Organic Milk,FreshMart
8/31/2019,,Organic Milk,FreshMart
9/1/2019,94.0,Organic Milk,FreshMart
9/2/2019,95.0,Organic Milk,FreshMart
9/3/2019,94.0,Organic Milk,FreshMart
9/4/2019,100.0,Organic Milk,FreshMart
9/5/2019,100.0,Organic Milk,FreshMart
9/6/2019,96.0,Organic Milk,FreshMart
9/7/2019,93.0,Organic Milk,FreshMart
9/8/2019,,Organic Milk,FreshMart
9/9/2019,94.0,Organic Milk,FreshMart
9/10/2019,96.0,Organic Milk,FreshMart
9/11/2019,,Organic Milk,FreshMart
9/12/2019,,Organic Milk,FreshMart
9/13/2019,98.0,Organic Milk,FreshMart
9/14/2019,,Organic Milk,FreshMart
9/15/2019,,Organic Milk,FreshMart
9/16/2019,92.0,Organic Milk,FreshMart
9/17/2019,97.0,Organic Milk,FreshMart
9/18/2019,96.0,Organic Milk,FreshMart
9/19/2019,97.0,Organic Milk,FreshMart
9/20/2019,96.0,Organic Milk,FreshMart
9/21/2019,,Organic Milk,FreshMart
9/22/2019,91.0,Organic Milk,FreshMart
9/23/2019,94.0,Organic Milk,FreshMart
9/24/2019,96.0,Organic Milk,FreshMart
9/25/2019,97.0,Organic Milk,FreshMart
9/26/2019,97.0,Organic Milk,FreshMart
9/27/2019,96.0,Organic Milk,FreshMart
9/28/2019,95.0,Organic Milk,FreshMart
9/29/2019,,Organic Milk,FreshMart
9/30/2019,97.0,Organic Milk,FreshMart
10/1/2019,96.0,Organic Milk,FreshMart
10/2/2019,96.0,Organic Milk,FreshMart
10/3/2019,,Organic Milk,FreshMart
10/4/2019,97.0,Organic Milk,FreshMart
10/5/2019,94.0,Organic Milk,FreshMart
10/6/2019,90.0,Organic Milk,FreshMart
10/7/2019,96.0,Organic Milk,FreshMart
10/8/2019,95.0,Organic Milk,FreshMart
10/9/2019,98.0,Organic Milk,FreshMart
10/10/2019,96.0,Organic Milk,FreshMart
10/11/2019,98.0,Organic Milk,FreshMart
10/12/2019,94.0,Organic Milk,FreshMart
10/13/2019,94.0,Organic Milk,FreshMart
10/14/2019,92.0,Organic Milk,FreshMart
10/15/2019,,Organic Milk,FreshMart
10/16/2019,97.0,Organic Milk,FreshMart
10/17/2019,,Organic Milk,FreshMart
10/18/2019,95.0,Organic Milk,FreshMart
10/19/2019,,Organic Milk,FreshMart
10/20/2019,96.0,Organic Milk,FreshMart
10/21/2019,91.0,Organic Milk,FreshMart
10/22/2019,,Organic Milk,FreshMart
10/23/2019,97.0,Organic Milk,FreshMart
10/24/2019,96.0,Organic Milk,FreshMart
10/25/2019,96.0,Organic Milk,FreshMart
10/26/2019,93.0,Organic Milk,FreshMart
10/27/2019,93.0,Organic Milk,FreshMart
10/28/2019,91.0,Organic Milk,FreshMart
10/29/2019,96.0,Organic Milk,FreshMart
10/30/2019,95.0,Organic Milk,FreshMart
10/31/2019,95.0,Organic Milk,FreshMart
11/1/2019,96.0,Organic Milk,FreshMart
11/2/2019,92.0,Organic Milk,FreshMart
11/3/2019,90.0,Organic Milk,FreshMart
11/4/2019,90.0,Organic Milk,FreshMart
11/5/2019,95.0,Organic Milk,FreshMart
11/6/2019,95.0,Organic Milk,FreshMart
11/7/2019,95.0,Organic Milk,FreshMart
11/8/2019,96.0,Organic Milk,FreshMart
11/9/2019,91.0,Organic Milk,FreshMart
11/10/2019,91.0,Organic Milk,FreshMart
11/11/2019,91.0,Organic Milk,FreshMart
11/12/2019,94.0,Organic Milk,FreshMart
11/13/2019,95.0,Organic Milk,FreshMart
11/14/2019,95.0,Organic Milk,FreshMart
11/15/2019,94.0,Organic Milk,FreshMart
11/16/2019,92.0,Organic Milk,FreshMart
11/17/2019,90.0,Organic Milk,FreshMart
11/18/2019,91.0,Organic Milk,FreshMart
11/19/2019,94.0,Organic Milk,FreshMart
11/20/2019,94.0,Organic Milk,FreshMart
11/21/2019,94.0,Organic Milk,FreshMart
11/22/2019,94.0,Organic Milk,FreshMart
11/23/2019,92.0,Organic Milk,FreshMart
11/24/2019,94.0,Organic Milk,FreshMart
11/25/2019,91.0,Organic Milk,FreshMart
11/26/2019,94.0,Organic Milk,FreshMart
11/27/2019,96.0,Organic Milk,FreshMart
11/28/2019,93.0,Organic Milk,FreshMart
11/29/2019,95.0,Organic Milk,FreshMart
11/30/2019,,Organic Milk,FreshMart
12/1/2019,87.0,Organic Milk,FreshMart
12/2/2019,92.0,Organic Milk,FreshMart
12/3/2019,91.0,Organic Milk,FreshMart
12/4/2019,95.0,Organic Milk,FreshMart
12/5/2019,94.0,Organic Milk,FreshMart
12/6/2019,96.0,Organic Milk,FreshMart
12/7/2019,94.0,Organic Milk,FreshMart
12/8/2019,90.0,Organic Milk,FreshMart
12/9/2019,,Organic Milk,FreshMart
12/10/2019,91.0,Organic Milk,FreshMart
12/11/2019,94.0,Organic Milk,FreshMart
12/12/2019,94.0,Organic Milk,FreshMart
12/13/2019,93.0,Organic Milk,FreshMart
12/14/2019,92.0,Organic Milk,FreshMart
12/15/2019,92.0,Organic Milk,FreshMart
12/16/2019,92.0,Organic Milk,FreshMart
12/17/2019,92.0,Organic Milk,FreshMart
12/18/2019,92.0,Organic Milk,FreshMart
12/19/2019,97.0,Organic Milk,FreshMart
12/20/2019,93.0,Organic Milk,FreshMart
12/21/2019,91.0,Organic Milk,FreshMart
12/22/2019,90.0,Organic Milk,FreshMart
12/23/2019,89.0,Organic Milk,FreshMart
12/24/2019,92.0,Organic Milk,FreshMart
12/25/2019,94.0,Organic Milk,FreshMart
12/26/2019,96.0,Organic Milk,FreshMart
12/27/2019,95.0,Organic Milk,FreshMart
12/28/2019,92.0,Organic Milk,FreshMart
12/29/2019,92.0,Organic Milk,FreshMart
12/30/2019,92.0,Organic Milk,FreshMart
12/31/2019,93.0,Organic Milk,FreshMart
1/1/2020,95.0,Organic Milk,FreshMart
1/2/2020,95.0,Organic Milk,FreshMart
1/3/2020,93.0,Organic Milk,FreshMart
1/4/2020,92.0,Organic Milk,FreshMart
1/5/2020,89.0,Organic Milk,FreshMart
1/6/2020,92.0,Organic Milk,FreshMart
1/7/2020,91.0,Organic Milk,FreshMart
1/8/2020,96.0,Organic Milk,FreshMart
1/9/2020,95.0,Organic Milk,FreshMart
1/10/2020,94.0,Organic Milk,FreshMart
1/11/2020,93.0,Organic Milk,FreshMart
1/12/2020,,Organic Milk,FreshMart
1/13/2020,89.0,Organic Milk,FreshMart
1/14/2020,93.0,Organic Milk,FreshMart
1/15/2020,96.0,Organic Milk,FreshMart
1/16/2020,93.0,Organic Milk,FreshMart
1/17/2020,94.0,Organic Milk,FreshMart
1/18/2020,89.0,Organic Milk,FreshMart
1/19/2020,90.0,Organic Milk,FreshMart
1/20/2020,92.0,Organic Milk,FreshMart
1/21/2020,91.0,Organic Milk,FreshMart
1/22/2020,93.0,Organic Milk,FreshMart
1/23/2020,93.0,Organic Milk,FreshMart
1/24/2020,,Organic Milk,FreshMart
1/25/2020,93.0,Organic Milk,FreshMart
1/26/2020,92.0,Organic Milk,FreshMart
1/27/2020,,Organic Milk,FreshMart
1/28/2020,,Organic Milk,FreshMart
1/29/2020,93.0,Organic Milk,FreshMart
1/30/2020,95.0,Organic Milk,FreshMart
1/31/2020,93.0,Organic Milk,FreshMart
2/1/2020,94.0,Organic Milk,FreshMart
2/2/2020,,Organic Milk,FreshMart
2/3/2020,94.0,Organic Milk,FreshMart
2/4/2020,,Organic Milk,FreshMart
2/5/2020,94.0,Organic Milk,FreshMart
2/6/2020,94.0,Organic Milk,FreshMart
2/7/2020,96.0,Organic Milk,FreshMart
2/8/2020,93.0,Organic Milk,FreshMart
2/9/2020,,Organic Milk,FreshMart
2/10/2020,93.0,Organic Milk,FreshMart
2/11/2020,,Organic Milk,FreshMart
2/12/2020,95.0,Organic Milk,FreshMart
2/13/2020,96.0,Organic Milk,FreshMart
2/14/2020,94.0,Organic Milk,FreshMart
2/15/2020,91.0,Organic Milk,FreshMart
2/16/2020,93.0,Organic Milk,FreshMart
2/17/2020,92.0,Organic Milk,FreshMart
2/18/2020,94.0,Organic Milk,FreshMart
2/19/2020,98.0,Organic Milk,FreshMart
2/20/2020,97.0,Organic Milk,FreshMart
2/21/2020,,Organic Milk,FreshMart
2/22/2020,94.0,Organic Milk,FreshMart
2/23/2020,95.0,Organic Milk,FreshMart
2/24/2020,95.0,Organic Milk,FreshMart
2/25/2020,96.0,Organic Milk,FreshMart
2/26/2020,97.0,Organic Milk,FreshMart
2/27/2020,,Organic Milk,FreshMart
2/28/2020,,Organic Milk,FreshMart
2/29/2020,94.0,Organic Milk,FreshMart
3/1/2020,,Organic Milk,FreshMart
3/2/2020,,Organic Milk,FreshMart
3/3/2020,91.0,Organic Milk,FreshMart
3/4/2020,96.0,Organic Milk,FreshMart
3/5/2020,97.0,Organic Milk,FreshMart
3/6/2020,95.0,Organic Milk,FreshMart
3/7/2020,92.0,Organic Milk,FreshMart
3/8/2020,94.0,Organic Milk,FreshMart
3/9/2020,,Organic Milk,FreshMart
3/10/2020,94.0,Organic Milk,FreshMart
3/11/2020,97.0,Organic Milk,FreshMart
3/12/2020,98.0,Organic Milk,FreshMart
3/13/2020,96.0,Organic Milk,FreshMart
3/14/2020,96.0,Organic Milk,FreshMart
3/15/2020,94.0,Organic Milk,FreshMart
3/16/2020,93.0,Organic Milk,FreshMart
3/17/2020,94.0,Organic Milk,FreshMart
3/18/2020,97.0,Organic Milk,FreshMart
3/19/2020,98.0,Organic Milk,FreshMart
3/20/2020,98.0,Organic Milk,FreshMart
3/21/2020,95.0,Organic Milk,FreshMart
3/22/2020,95.0,Organic Milk,FreshMart
3/23/2020,93.0,Organic Milk,FreshMart
3/24/2020,95.0,Organic Milk,FreshMart
3/25/2020,97.0,Organic Milk,FreshMart
3/26/2020,97.0,Organic Milk,FreshMart
3/27/2020,,Organic Milk,FreshMart
3/28/2020,96.0,Organic Milk,FreshMart
3/29/2020,95.0,Organic Milk,FreshMart
3/30/2020,95.0,Organic Milk,FreshMart
3/31/2020,99.0,Organic Milk,FreshMart
4/1/2020,97.0,Organic Milk,FreshMart
4/2/2020,,Organic Milk,FreshMart
4/3/2020,98.0,Organic Milk,FreshMart
4/4/2020,96.0,Organic Milk,FreshMart
4/5/2020,94.0,Organic Milk,FreshMart
4/6/2020,94.0,Organic Milk,FreshMart
4/7/2020,96.0,Organic Milk,FreshMart
4/8/2020,,Organic Milk,FreshMart
4/9/2020,98.0,Organic Milk,FreshMart
4/10/2020,,Organic Milk,FreshMart
4/11/2020,95.0,Organic Milk,FreshMart
4/12/2020,,Organic Milk,FreshMart
4/13/2020,92.0,Organic Milk,FreshMart
4/14/2020,98.0,Organic Milk,FreshMart
4/15/2020,96.0,Organic Milk,FreshMart
4/16/2020,98.0,Organic Milk,FreshMart
4/17/2020,98.0,Organic Milk,FreshMart
4/18/2020,,Organic Milk,FreshMart
4/19/2020,98.0,Organic Milk,FreshMart
4/20/2020,97.0,Organic Milk,FreshMart
4/21/2020,99.0,Organic Milk,FreshMart
4/22/2020,,Organic Milk,FreshMart
4/23/2020,101.0,Organic Milk,FreshMart
4/24/2020,99.0,Organic Milk,FreshMart
4/25/2020,98.0,Organic Milk,FreshMart
4/26/2020,97.0,Organic Milk,FreshMart
4/27/2020,,Organic Milk,FreshMart
4/28/2020,97.0,Organic Milk,FreshMart
4/29/2020,101.0,Organic Milk,FreshMart
4/30/2020,96.0,Organic Milk,FreshMart
5/1/2020,101.0,Organic Milk,FreshMart
5/2/2020,98.0,Organic Milk,FreshMart
5/3/2020,96.0,Organic Milk,FreshMart
5/4/2020,97.0,Organic Milk,FreshMart
5/5/2020,97.0,Organic Milk,FreshMart
5/6/2020,,Organic Milk,FreshMart
5/7/2020,,Organic Milk,FreshMart
5/8/2020,101.0,Organic Milk,FreshMart
5/9/2020,101.0,Organic Milk,FreshMart
5/10/2020,96.0,Organic Milk,FreshMart
5/11/2020,96.0,Organic Milk,FreshMart
5/12/2020,98.0,Organic Milk,FreshMart
5/13/2020,99.0,Organic Milk,FreshMart
5/14/2020,101.0,Organic Milk,FreshMart
5/15/2020,100.0,Organic Milk,FreshMart
5/16/2020,98.0,Organic Milk,FreshMart
5/17/2020,98.0,Organic Milk,FreshMart
5/18/2020,97.0,Organic Milk,FreshMart
5/19/2020,98.0,Organic Milk,FreshMart
5/20/2020,100.0,Organic Milk,FreshMart
5/21/2020,99.0,Organic Milk,FreshMart
5/22/2020,,Organic Milk,FreshMart
5/23/2020,97.0,Organic Milk,FreshMart
5/24/2020,99.0,Organic Milk,FreshMart
5/25/2020,99.0,Organic Milk,FreshMart
5/26/2020,101.0,Organic Milk,FreshMart
5/27/2020,99.0,Organic Milk,FreshMart
5/28/2020,98.0,Organic Milk,FreshMart
5/29/2020,99.0,Organic Milk,FreshMart
5/30/2020,99.0,Organic Milk,FreshMart
5/31/2020,,Organic Milk,FreshMart
6/1/2020,99.0,Organic Milk,FreshMart
6/2/2020,100.0,Organic Milk,FreshMart
6/3/2020,103.0,Organic Milk,FreshMart
6/4/2020,,Organic Milk,FreshMart
6/5/2020,99.0,Organic Milk,FreshMart
6/6/2020,,Organic Milk,FreshMart
6/7/2020,96.0,Organic Milk,FreshMart
6/8/2020,98.0,Organic Milk,FreshMart
6/9/2020,98.0,Organic Milk,FreshMart
6/10/2020,103.0,Organic Milk,FreshMart
6/11/2020,104.0,Organic Milk,FreshMart
6/12/2020,97.0,Organic Milk,FreshMart
6/13/2020,100.0,Organic Milk,FreshMart
6/14/2020,95.0,Organic Milk,FreshMart
6/15/2020,99.0,Organic Milk,FreshMart
6/16/2020,102.0,Organic Milk,FreshMart
6/17/2020,101.0,Organic Milk,FreshMart
6/18/2020,,Organic Milk,FreshMart
6/19/2020,100.0,Organic Milk,FreshMart
6/20/2020,18.8,Organic Milk,FreshMart
6/21/2020,,Organic Milk,FreshMart
6/22/2020,18.8,Organic Milk,FreshMart
6/23/2020,,Organic Milk,FreshMart
6/24/2020,102.0,Organic Milk,FreshMart
6/25/2020,100.0,Organic Milk,FreshMart
6/26/2020,100.0,Organic Milk,FreshMart
6/27/2020,101.0,Organic Milk,FreshMart
6/28/2020,97.0,Organic Milk,FreshMart
6/29/2020,98.0,Organic Milk,FreshMart
6/30/2020,102.0,Organic Milk,FreshMart
7/1/2020,98.0,Organic Milk,FreshMart
7/2/2020,104.0,Organic Milk,FreshMart
7/3/2020,100.0,Organic Milk,FreshMart
7/4/2020,,Organic Milk,FreshMart
7/5/2020,98.0,Organic Milk,FreshMart
7/6/2020,,Organic Milk,FreshMart
7/7/2020,100.0,Organic Milk,FreshMart
7/8/2020,101.0,Organic Milk,FreshMart
7/9/2020,,Organic Milk,FreshMart
7/10/2020,98.0,Organic Milk,FreshMart
7/11/2020,99.0,Organic Milk,FreshMart
7/12/2020,96.0,Organic Milk,FreshMart
7/13/2020,97.0,Organic Milk,FreshMart
7/14/2020,103.0,Organic Milk,FreshMart
7/15/2020,102.0,Organic Milk,FreshMart
7/16/2020,102.0,Organic Milk,FreshMart
7/17/2020,98.0,Organic Milk,FreshMart
7/18/2020,98.0,Organic Milk,FreshMart
7/19/2020,98.0,Organic Milk,FreshMart
7/20/2020,99.0,Organic Milk,FreshMart
7/21/2020,101.0,Organic Milk,FreshMart
7/22/2020,102.0,Organic Milk,FreshMart
7/23/2020,103.0,Organic Milk,FreshMart
7/24/2020,,Organic Milk,FreshMart
7/25/2020,96.0,Organic Milk,FreshMart
7/26/2020,98.0,Organic Milk,FreshMart
7/27/2020,99.0,Organic Milk,FreshMart
7/28/2020,101.0,Organic Milk,FreshMart
7/29/2020,,Organic Milk,FreshMart
7/30/2020,101.0,Organic Milk,FreshMart
7/31/2020,99.0,Organic Milk,FreshMart
8/1/2020,,Organic Milk,FreshMart
8/2/2020,99.0,Organic Milk,FreshMart
8/3/2020,95.0,Organic Milk,FreshMart
8/4/2020,99.0,Organic Milk,FreshMart
8/5/2020,100.0,Organic Milk,FreshMart
8/6/2020,103.0,Organic Milk,FreshMart
8/7/2020,100.0,Organic Milk,FreshMart
8/8/2020,,Organic Milk,FreshMart
8/9/2020,97.0,Organic Milk,FreshMart
8/10/2020,99.0,Organic Milk,FreshMart
8/11/2020,99.0,Organic Milk,FreshMart
8/12/2020,97.0,Organic Milk,FreshMart
8/13/2020,102.0,Organic Milk,FreshMart
8/14/2020,101.0,Organic Milk,FreshMart
